City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
210,granbury,32.4421,-97.7942,80.24,62,0,4.61,US,1690094935
211,hadibu,12.65,54.0333,78.37,78,99,27.92,YE,1690094974
212,uravakonda,14.95,77.2667,77.56,77,100,23.64,IN,1690094975
213,revuca,48.6835,20.1173,69.57,52,13,3.87,SK,1690094976
214,alice springs,-23.7,133.8833,60.35,31,0,16.11,AU,1690094976
215,nantucket,41.2835,-70.0995,69.01,83,100,1.19,US,1690094732
216,alupka,44.4167,34.05,82.45,59,6,4.05,UA,1690094977
217,yorkton,51.2167,-102.4677,64.24,82,20,5.75,CA,1690094702
218,nchelenge,-9.3451,28.734,70.93,48,4,8.12,ZM,1690094978
219,korkut,38.7391,41.7822,83.75,32,20,5.75,TR,1690094979
220,vernon,50.2581,-119.2691,72.93,40,13,1.14,CA,1690094980
221,iskateley,67.6803,53.1512,60.01,92,100,5.3,RU,1690094980
222,sola,-13.8833,167.55,74.07,94,100,5.75,VU,1690094981
223,remire-montjoly,4.9167,-52.2667,73.44,100,100,0.0,GF,1690094981
224,namsos,64.4662,11.4957,55.45,88,75,3.44,NO,1690094982
225,cambridge,43.3601,-80.3127,62.24,90,40,0.0,CA,1690094814
226,isla mujeres,21.2311,-86.731,84.16,86,99,11.52,MX,1690094983
227,flying fish cove,-10.4217,105.6791,78.48,83,100,13.8,CX,1690094984
228,maridi,4.9158,29.4742,79.81,63,15,3.58,SS,1690094984
229,madang,-5.2246,145.7966,81.57,80,100,7.2,PG,1690094985
230,nakhon si thammarat,8.25,100.0,91.4,58,100,9.62,TH,1690094986
231,el calafate,-50.3408,-72.2768,22.73,74,2,4.88,AR,1690094986
232,tolanaro,-25.0319,46.9987,73.47,73,20,16.11,MG,1690094987
233,saipan,15.1355,145.701,86.7,100,75,8.05,MP,1690094987
234,massawa,15.6097,39.45,99.03,41,78,3.91,ER,1690094988
235,bel ombre,-4.6167,55.4167,78.64,89,75,12.66,SC,1690094989
236,portachuelo,-17.35,-63.4,72.5,61,0,6.96,BO,1690094989
237,port mathurin,-19.6833,63.4167,73.9,66,17,19.66,MU,1690094990
238,grand falls-windsor,48.9332,-55.6649,69.51,88,100,1.99,CA,1690094990
239,galveston,29.3669,-94.9669,80.96,85,20,6.91,US,1690094991
240,san patricio,28.017,-97.5169,84.85,81,0,8.86,US,1690094993
241,mawlamyinegyunn,16.3833,95.2667,83.97,76,100,10.51,MM,1690094740
242,amboasary,-25.0333,46.3833,76.03,54,0,2.39,MG,1690094994
243,kyren,51.6828,102.1408,79.63,46,53,4.68,RU,1690094995
244,la'ie,21.6477,-157.9253,80.56,86,28,15.1,US,1690094995
245,el galpon,-25.3807,-64.6526,64.38,48,3,12.53,AR,1690094996
246,ust'-kulom,61.6864,53.6902,70.12,46,45,8.48,RU,1690094996
247,port augusta,-32.5,137.7667,56.03,60,19,18.86,AU,1690094997
248,xanxere,-26.8769,-52.4042,58.26,79,8,4.43,BR,1690094812
249,taltal,-25.4,-70.4833,61.0,75,41,3.53,CL,1690094895
250,muynoq,43.7683,59.0214,101.84,16,0,10.0,UZ,1690094999
251,klyuchi,52.2667,79.1667,84.9,25,20,13.15,RU,1690095000
252,tual,-5.6667,132.75,79.48,74,23,22.68,ID,1690095000
253,yeysk,46.6989,38.2792,80.91,61,5,12.84,RU,1690095001
254,santana do ipanema,-9.3783,-37.2453,63.72,97,49,3.67,BR,1690095001
255,ta`u,-14.2336,-169.5144,81.25,78,19,4.29,AS,1690095002
256,magadan,59.5667,150.8,58.53,98,100,3.24,RU,1690095003
